"director","content_type","content_count","avg_quality_score","genres_worked_in","first_release_year","latest_release_year","recent_works_count","years_active","rank_by_volume"
"Rajiv Chilaka","Movie","19","0.979","[Children & Family Movies]","2009","2018","0","9","1"
"Suhas Kadav","Movie","16","0.963","[Children & Family Movies]","2013","2019","0","6","2"
"Marcus Raboy","Movie","15","1.0","[Stand-Up Comedy]","2012","2020","0","8","3"
"Jay Karas","Movie","14","1.0","[Children & Family Movies, Stand-Up Comedy]","2012","2020","0","8","4"
"Cathy Garcia-Molina","Movie","13","1.0","[Comedies, Dramas, International Movies]","2008","2019","0","11","5"
"Jay Chapman","Movie","12","1.0","[Stand-Up Comedy, Music & Musicals]","2012","2018","0","6","6"
"Martin Scorsese","Movie","12","1.0","[Children & Family Movies, Documentaries, Thrillers, Classic Movies, Dramas]","1967","2019","0","52","7"
"Youssef Chahine","Movie","12","1.0","[Classic Movies, Action & Adventure, Dramas]","1954","1999","0","45","8"
"Steven Spielberg","Movie","11","1.0","[Children & Family Movies, Classic Movies, Action & Adventure, Dramas]","1975","2016","0","41","9"
"Don Michael Paul","Movie","10","1.0","[Action & Adventure, Comedies]","2013","2020","0","7","10"
"David Dhawan","Movie","9","1.0","[Action & Adventure, Comedies]","1997","2017","0","20","11"
"Fernando Ayllón","Movie","8","1.0","[Children & Family Movies, Stand-Up Comedy, Comedies]","2018","2020","0","2","12"
"Hakan Algül","Movie","8","1.0","[Comedies]","2010","2018","0","8","13"
"Johnnie To","Movie","8","1.0","[Action & Adventure, Comedies, Dramas]","1992","2016","0","24","14"
"Kunle Afolayan","Movie","8","1.0","[Horror Movies, Comedies, Dramas]","2009","2020","0","11","15"
"Lance Bangs","Movie","8","1.0","[Stand-Up Comedy, Music & Musicals]","2013","2019","0","6","16"
"Robert Rodriguez","Movie","8","1.0","[Children & Family Movies, Action & Adventure]","2001","2020","0","19","17"
"Shannon Hartman","Movie","8","1.0","[Stand-Up Comedy]","2009","2019","0","10","18"
"Troy Miller","Movie","8","1.0","[Stand-Up Comedy, Comedies]","2003","2021","2","18","19"
"Yılmaz Erdoğan","Movie","8","1.0","[Action & Adventure, Comedies, Dramas]","1999","2019","0","20","20"
"Clint Eastwood","Movie","7","1.0","[Action & Adventure, Dramas]","1976","2014","0","38","21"
"Hidenori Inoue","Movie","7","1.0","[Action & Adventure]","2009","2017","0","8","22"
"Justin G. Dyck","Movie","7","1.0","[Children & Family Movies, Music & Musicals, Comedies, Romantic Movies, International Movies]","2017","2018","0","1","23"
"Mae Czarina Cruz","Movie","7","1.0","[Children & Family Movies, Comedies, Dramas]","2013","2020","0","7","24"
"McG","Movie","7","1.0","[Action & Adventure, Comedies]","2000","2020","0","20","25"
"Ozan Açıktan","Movie","7","1.0","[Comedies, Dramas]","2010","2020","0","10","26"
"Quentin Tarantino","Movie","7","1.0","[Classic Movies, Action & Adventure, Dramas]","1994","2015","0","21","27"
"Ram Gopal Varma","Movie","7","1.0","[Horror Movies, Action & Adventure]","1990","2016","0","26","28"
"Ron Howard","Movie","7","1.0","[Children & Family Movies, Thrillers, Action & Adventure, Dramas]","2000","2020","0","20","29"
"Ryan Polito","Movie","7","1.0","[Stand-Up Comedy]","2012","2019","0","7","30"
"S.S. Rajamouli","Movie","7","1.0","[Action & Adventure]","2015","2017","0","2","31"
"Toshiya Shinohara","Movie","7","1.0","[Action & Adventure]","2001","2004","0","3","32"
"Omoni Oboli","Movie","7","0.971","[Comedies, Dramas]","2014","2019","0","5","33"
"Prakash Satam","Movie","7","0.914","[Children & Family Movies]","2018","2021","2","3","34"
"Anees Bazmee","Movie","6","1.0","[Comedies, International Movies]","2002","2017","0","15","35"
"Ashutosh Gowariker","Movie","6","1.0","[Action & Adventure, Comedies, Dramas]","2001","2019","0","18","36"
"David Fincher","Movie","6","1.0","[Thrillers, Cult Movies, Dramas]","1997","2020","0","23","37"
"Hanung Bramantyo","Movie","6","1.0","[Dramas]","2008","2019","0","11","38"
"Imtiaz Ali","Movie","6","1.0","[Action & Adventure, Comedies, Dramas]","2005","2020","0","15","39"
"Joey So","Movie","6","1.0","[Children & Family Movies]","2019","2020","0","1","40"
"Lasse Hallström","Movie","6","1.0","[Children & Family Movies, Classic Movies, Comedies, Dramas]","1993","2014","0","21","41"
"Milan Luthria","Movie","6","1.0","[Action & Adventure, Comedies, Dramas]","2006","2017","0","11","42"
"Noah Baumbach","Movie","6","1.0","[Comedies, Dramas]","1995","2019","0","24","43"
"Rajkumar Santoshi","Movie","6","1.0","[Action & Adventure, Comedies, Dramas]","1990","2009","0","19","44"
"Robert Luketic","Movie","6","1.0","[Thrillers, Action & Adventure, Comedies, Dramas]","2001","2013","0","12","45"
"Robert Vince","Movie","6","1.0","[Children & Family Movies]","2015","2018","0","3","46"
"Sameh Abdulaziz","Movie","6","1.0","[Comedies, Dramas]","2010","2017","0","7","47"
"Sooraj R. Barjatya","Movie","6","1.0","[Classic Movies, Action & Adventure, Dramas]","1989","2015","0","26","48"
"Steven Soderbergh","Movie","6","1.0","[Action & Adventure, Comedies, Dramas]","2004","2019","0","15","49"
"Wenn V. Deramas","Movie","6","1.0","[Action & Adventure, Comedies]","2008","2015","0","7","50"
"Matt Askem","Movie","6","0.967","[Documentaries, Music & Musicals]","2008","2018","0","10","51"
"Vlad Yudin","Movie","6","0.933","[Documentaries]","2015","2019","0","4","52"
"Andy Tennant","Movie","5","1.0","[Children & Family Movies, Action & Adventure, Comedies]","1995","2016","0","21","53"
"Angga Dwimas Sasongko","Movie","5","1.0","[Dramas]","2014","2020","0","6","54"
"Antoinette Jadaone","Movie","5","1.0","[Comedies, Dramas]","2015","2020","0","5","55"
"Anurag Kashyap","Movie","5","1.0","[Dramas, International Movies]","2004","2020","0","16","56"
"David Batty","Movie","5","1.0","[Documentaries, Dramas]","2014","2017","0","3","57"
"Detlev Buck","Movie","5","1.0","[Children & Family Movies, Comedies]","2014","2020","0","6","58"
"Indra Kumar","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","1990","2014","0","24","59"
"Jay Roach","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","1997","2015","0","18","60"
"John G. Avildsen","Movie","5","1.0","[Children & Family Movies, Action & Adventure, Dramas]","1976","1990","0","14","61"
"Kevin Smith","Movie","5","1.0","[Horror Movies, Comedies]","1997","2016","0","19","62"
"Khaled Marei","Movie","5","1.0","[Comedies, Dramas]","2008","2019","0","11","63"
"Kıvanç Baruönü","Movie","5","1.0","[Comedies]","2014","2018","0","4","64"
"Leslie Small","Movie","5","1.0","[Children & Family Movies, Stand-Up Comedy, Comedies]","2016","2020","0","4","65"
"Lynn Shelton","Movie","5","1.0","[Stand-Up Comedy, Comedies, Dramas]","2014","2020","0","6","66"
"Madhur Bhandarkar","Movie","5","1.0","[Dramas]","2007","2015","0","8","67"
"Mahesh Manjrekar","Movie","5","1.0","[Dramas]","2002","2019","0","17","68"
"Mani Ratnam","Movie","5","1.0","[Dramas]","1995","2015","0","20","69"
"Manny Rodriguez","Movie","5","1.0","[Stand-Up Comedy]","2006","2019","0","13","70"
"Martin Campbell","Movie","5","1.0","[Action & Adventure]","1995","2017","0","22","71"
"Mike Clattenburg","Movie","5","1.0","[Comedies, Movies]","1998","2009","0","11","72"
"Nagesh Kukunoor","Movie","5","1.0","[Comedies, Dramas]","2001","2015","0","14","73"
"Niyi Akinmolayan","Movie","5","1.0","[Comedies, Dramas]","2016","2019","0","3","74"
"Paul Thomas Anderson","Movie","5","1.0","[Comedies, Dramas]","1997","2019","0","22","75"
"Prakash Jha","Movie","5","1.0","[Dramas]","2003","2013","0","10","76"
"Priyadarshan","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","2006","2016","0","10","77"
"Rajiv Mehra","Movie","5","1.0","[Action & Adventure, Comedies, Dramas]","1983","1995","0","12","78"
"Riri Riza","Movie","5","1.0","[Children & Family Movies, Dramas]","2005","2016","0","11","79"
"Rocky Soraya","Movie","5","1.0","[Horror Movies]","2016","2019","0","3","80"
"Rohit Shetty","Movie","5","1.0","[Action & Adventure, Comedies]","2006","2015","0","9","81"
"Spike Lee","Movie","5","1.0","[Classic Movies, Stand-Up Comedy, Action & Adventure, Comedies, Dramas]","1988","2020","0","32","82"
"Steve Brill","Movie","5","1.0","[Stand-Up Comedy, Comedies]","2000","2020","0","20","83"
"Thierry Donard","Movie","5","1.0","[Action & Adventure]","2014","2018","0","4","84"
"Umesh Mehra","Movie","5","1.0","[Action & Adventure, Dramas]","1986","1998","0","12","85"
"Vince Marcello","Movie","5","1.0","[Children & Family Movies, Comedies]","2012","2021","1","9","86"
"Vishal Bhardwaj","Movie","5","1.0","[Children & Family Movies, Action & Adventure, Dramas]","2005","2017","0","12","87"
"Wilson Yip","Movie","5","1.0","[Action & Adventure]","2006","2019","0","13","88"
"Ava DuVernay","Movie","5","0.96","[Children & Family Movies, Documentaries, Dramas]","2008","2018","0","10","89"
"Ahmad El-Badri","Movie","4","1.0","[Comedies]","2008","2012","0","4","90"
"Ahmed Nader Galal","Movie","4","1.0","[Action & Adventure, Comedies, Dramas]","2007","2018","0","11","91"
"Antoine Fuqua","Movie","4","1.0","[Action & Adventure, Dramas]","2001","2013","0","12","92"
"Antonio Campos","Movie","4","1.0","[Dramas]","2008","2020","0","12","93"
"Anurag Basu","Movie","4","1.0","[Action & Adventure, Comedies, Dramas]","2007","2020","0","13","94"
"Brian Levant","Movie","4","1.0","[Children & Family Movies, Action & Adventure]","1992","2010","0","18","95"
"Bruno Garotti","Movie","4","1.0","[Children & Family Movies, Comedies]","2019","2021","2","2","96"
"Chia-Liang Liu","Movie","4","1.0","[Action & Adventure]","1980","1986","0","6","97"
"Chris Stokes","Movie","4","1.0","[Thrillers, Comedies]","2016","2019","0","3","98"
"Clay Glen","Movie","4","1.0","[Children & Family Movies]","2011","2021","1","10","99"
"Cristina Jacob","Movie","4","1.0","[Comedies, International Movies]","2014","2019","0","5","100"
"Alastair Fothergill","TV Show","3","1.0","[British TV Shows]","2001","2011","0","10","1"
"Hsu Fu-chun","TV Show","2","1.0","[International TV Shows]","2011","2021","1","10","2"
"Iginio Straffi","TV Show","2","1.0","[Kids' TV]","2017","2017","0","0","3"
"Rob Seidenglanz","TV Show","2","1.0","[Crime TV Shows, TV Action & Adventure]","2019","2020","0","1","4"
"Shin Won-ho","TV Show","2","1.0","[International TV Shows]","2012","2014","0","2","5"
"Stan Lathan","TV Show","2","1.0","[Stand-Up Comedy & Talk Shows]","2017","2017","0","0","6"
"Ken Burns","TV Show","2","0.9","[Docuseries]","1990","2014","0","24","7"
